"","Zotu15772; LachnospiraceaeNK4A136group_ASV_luminal","Zotu80952; LachnospiraceaeNK4A136group_ASV_luminal","Zotu144; LachnospiraceaeNK4A136group_ASV_luminal","Zotu694; LachnospiraceaeNK4A136group_ASV_luminal","Zotu109; GOTU122_ASV_luminal","Zotu66; Lachnoclostridium_ASV_luminal","Zotu90; LachnospiraceaeNK4A136group_ASV_luminal","Zotu470; Acetatifactor_ASV_luminal","Zotu28034; Acetatifactor_ASV_luminal","Zotu442; Acetatifactor_ASV_luminal","Zotu94569; LachnospiraceaeNK4A136group_ASV_luminal","Zotu72; Lachnoclostridium_ASV_luminal","Zotu101647; Lachnoclostridium_ASV_luminal","Zotu353; Lachnoclostridium_ASV_luminal","Zotu39667; Lachnoclostridium_ASV_luminal","Zotu44094; LachnospiraceaeFCS020group_ASV_luminal","Zotu13; LachnospiraceaeUCG-001_ASV_luminal","Zotu103917; LachnospiraceaeNK4A136group_ASV_luminal","Zotu43980; Lachnoclostridium_ASV_luminal","Zotu105; Lachnoclostridium_ASV_luminal","Zotu56859; Lachnoclostridium_ASV_luminal","Zotu57149; Lachnoclostridium_ASV_luminal","Zotu372; LachnospiraceaeNK4A136group_ASV_luminal","Zotu44096; GOTU208_ASV_luminal","Zotu6489; GOTU130_ASV_luminal","Zotu251; GOTU130_ASV_luminal","Zotu1103; GOTU130_ASV_luminal","Zotu1096; GOTU130_ASV_luminal","Zotu94572; GOTU111_ASV_luminal","Zotu57150; Lachnoclostridium_ASV_luminal","Zotu307; Lachnoclostridium_ASV_luminal","Zotu103907; A2_ASV_luminal","Zotu452; Roseburia_ASV_luminal","Zotu737; Roseburia_ASV_luminal","Zotu264; GOTU87_ASV_luminal","Zotu36748; LachnospiraceaeNK4A136group_ASV_luminal","Zotu357; GCA-900066575_ASV_luminal","Zotu44095; GCA-900066575_ASV_luminal","Zotu105022; GCA-900066575_ASV_luminal","Zotu28032; Lachnoclostridium_ASV_luminal","Zotu28035; Lachnoclostridium_ASV_luminal","Zotu502; Lactobacillus_ASV_luminal","Zotu146; Lactobacillus_ASV_luminal","Zotu143; Limosilactobacillus_ASV_luminal","Zotu69; Limosilactobacillus_ASV_luminal","Zotu417; Limosilactobacillus_ASV_luminal","Zotu645; Limosilactobacillus_ASV_luminal","Zotu101650; Limosilactobacillus_ASV_luminal","Zotu597; Limosilactobacillus_ASV_luminal","Zotu19; Ligilactobacillus_ASV_luminal","Zotu923; Enterococcus_ASV_luminal","Zotu105027; GOTU3223_ASV_luminal","Zotu139; GOTU3223_ASV_luminal","Zotu56868; FamilyXIIIAD3011group_ASV_luminal","Zotu225; Eubacteriumnodatumgroup_ASV_luminal","Zotu44087; GOTU3673_ASV_luminal","Zotu80429; Parasutterella_ASV_luminal","Zotu28036; Parasutterella_ASV_luminal","Zotu259; Parasutterella_ASV_luminal","Zotu832; Parasutterella_ASV_luminal","Zotu101535; CandidatusSaccharimonas_ASV_luminal","Zotu719; CandidatusSaccharimonas_ASV_luminal","Zotu57159; Mucispirillum_ASV_luminal","Zotu160; Desulfovibrio_ASV_luminal","Zotu35; GOTU2839_ASV_luminal","Zotu568; GOTU3774_ASV_luminal","Zotu699; GOTU3776_ASV_luminal","Zotu391; Monoglobus_ASV_luminal","Zotu1007; GOTU3253_ASV_luminal","Zotu6; Oscillibacter_ASV_luminal","Zotu43985; UCG-003_ASV_luminal","Zotu80428; Oscillibacter_ASV_luminal","Zotu56864; Oscillibacter_ASV_luminal","Zotu39701; GOTU3255_ASV_luminal","Zotu43975; Colidextribacter_ASV_luminal","Zotu37259; Flavonifractor_ASV_luminal","Zotu340; Colidextribacter_ASV_luminal","Zotu220; Colidextribacter_ASV_luminal","Zotu94573; Colidextribacter_ASV_luminal","Zotu677; Colidextribacter_ASV_luminal","Zotu1; Alistipes_ASV_luminal","Zotu560; Alistipes_ASV_luminal","Zotu105024; Alistipes_ASV_luminal","Zotu43976; Alistipes_ASV_luminal","Zotu343; Alistipes_ASV_luminal","Zotu5; Odoribacter_ASV_luminal","Zotu94570; GOTU1454_ASV_luminal","Zotu61; GOTU1454_ASV_luminal","Zotu271; GOTU1454_ASV_luminal","Zotu746; GOTU1392_ASV_luminal","Zotu34; Muribaculum_ASV_luminal","Zotu57151; Muribaculum_ASV_luminal","Zotu101646; Muribaculum_ASV_luminal","Zotu28041; GOTU1377_ASV_luminal","Zotu361; GOTU1477_ASV_luminal","Zotu1161; GOTU1366_ASV_luminal","Zotu783; GOTU1641_ASV_luminal","Zotu80912; GOTU1641_ASV_luminal","Zotu60; GOTU1481_ASV_luminal","Zotu94574; GOTU1481_ASV_luminal","Zotu288; GOTU1529_ASV_luminal","Zotu28141; Muribaculum_ASV_luminal","Zotu43984; GOTU1380_ASV_luminal","Zotu173; GOTU1380_ASV_luminal","Zotu28031; GOTU1712_ASV_luminal","Zotu138; GOTU1378_ASV_luminal","Zotu186; GOTU1378_ASV_luminal","Zotu80945; GOTU1378_ASV_luminal","Zotu15769; GOTU1355_ASV_luminal","Zotu15768; GOTU2883_ASV_luminal","Zotu44098; GOTU2883_ASV_luminal","Zotu54; Anaerotruncus_ASV_luminal","Zotu44079; Anaerotruncus_ASV_luminal","Zotu103905; Anaerotruncus_ASV_luminal","Zotu149; GOTU2877_ASV_luminal","Zotu328; GOTU2903_ASV_luminal","Zotu359; GOTU3691_ASV_luminal","Zotu870; GOTU3691_ASV_luminal","Zotu39199; GOTU3691_ASV_luminal","Zotu233; GOTU3697_ASV_luminal","Zotu28033; ASF356_ASV_luminal","Zotu41; ASF356_ASV_luminal","Zotu56860; ASF356_ASV_luminal","Zotu607; Tyzzerella_ASV_luminal","Zotu700; GOTU231_ASV_luminal","Zotu94401; LachnospiraceaeFCS020group_ASV_luminal","Zotu57160; Eubacteriumxylanophilumgroup_ASV_luminal","Zotu101645; Lachnoclostridium_ASV_luminal","Zotu129; Lachnoclostridium_ASV_luminal","Zotu410; Lachnoclostridium_ASV_luminal","Zotu740; Lachnoclostridium_ASV_luminal","Zotu213; LachnospiraceaeUCG-006_ASV_luminal","Zotu94409; LachnospiraceaeUCG-006_ASV_luminal","Zotu828; Roseburia_ASV_luminal","Zotu824; Roseburia_ASV_luminal","Zotu822; Roseburia_ASV_luminal","Zotu513; Lachnoclostridium_ASV_luminal","Zotu203; LachnospiraceaeNK4A136group_ASV_luminal"
"pos_456_Metabolome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pos_457_Metabolome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.707528394957909,0,0,-0.706995982155693,0,-0.707718523360199,0,-0.667313639137924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.704238282969375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pos_487_Metabolome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pos_494_Metabolome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.659067575322243,0,0,-0.677162636058009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pos_495_Metabolome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pos_552_Metabolome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.668903065402724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pos_555_Metabolome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pos_597_Metabolome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.69732456423829,0,0,-0.714500539706381,0,-0.672498570243663,0,-0.656444057639484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.676050387725013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pos_626_Metabolome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pos_702_Metabolome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pos_713_Metabolome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pos_714_Metabolome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pos_775_Metabolome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pos_797_Metabolome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pos_811_Metabolome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
